legura,kolicina,kom,masina,duzina,profil,k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,vm_1,vm_2,vm_3,vm_4,vm_5,vm_6,vm_7,vm_8,vm_9,vm_10,vm_11,vm_12,vm_13,vm_14
Y80,9850,2,L42,3800,400 X 1200,10000,0,0,500,0,0,0,0,0,0,0,0,0,0,"AL ingoti  99,7% - T",,"A30 (A30,A31,A29,A33,A40?) Serija 1XXX","A30 (A30,A31,A29,A33,A40?) Serija 1XXX",,,,"A1 balirano-U, post-con",,,,,,
EW3,10536,2,L51,3600,400 X 1350,0,0,2000,2000,2000,500,0,1000,1500,2000,1000,0,0,0,,,"M13 (M13,M14,M12,M14K,M15,M16?) Serija 3XXX","M13 (M13,M14,M12,M14K,M15,M16?) Serija 3XXX","M13 (M13,M14,M12,M14K,M15,M16?) Serija 3XXX","M13 (M13,M14,M12,M14K,M15,M16?) Serija 3XXX",,"A4N nebojeni, baliran-D, post-con","A5N nebojeni, baliran-U, post-con","A41 sekundarni ingoti-U, pre-con","A6 stranice kamiona-D, post-con",,,
EW3,10536,2,L51,3600,400 X 1350,0,0,2000,2000,2000,500,0,1000,1500,2000,1000,0,0,0,,,"M13 (M13,M14,M12,M14K,M15,M16?) Serija 3XXX","M13 (M13,M14,M12,M14K,M15,M16?) Serija 3XXX","M13 (M13,M14,M12,M14K,M15,M16?) Serija 3XXX","M13 (M13,M14,M12,M14K,M15,M16?) Serija 3XXX",,"A4N nebojeni, baliran-D, post-con","A5N nebojeni, baliran-U, post-con","A41 sekundarni ingoti-U, pre-con","A6 stranice kamiona-D, post-con",,,
EW3,10536,2,L51,3600,400 X 1350,0,0,2000,2000,2000,500,0,1000,1500,2000,1000,0,0,0,,,"M13 (M13,M14,M12,M14K,M15,M16?) Serija 3XXX","M13 (M13,M14,M12,M14K,M15,M16?) Serija 3XXX","M13 (M13,M14,M12,M14K,M15,M16?) Serija 3XXX","M13 (M13,M14,M12,M14K,M15,M16?) Serija 3XXX",,"A4N nebojeni, baliran-D, post-con","A5N nebojeni, baliran-U, post-con","A41 sekundarni ingoti-U, pre-con","A6 stranice kamiona-D, post-con",,,
EW3,10536,2,L51,3600,400 X 1350,0,0,2000,2000,2000,500,0,1000,1500,2000,1000,0,0,0,,,"M13 (M13,M14,M12,M14K,M15,M16?) Serija 3XXX","M13 (M13,M14,M12,M14K,M15,M16?) Serija 3XXX","M13 (M13,M14,M12,M14K,M15,M16?) Serija 3XXX","M13 (M13,M14,M12,M14K,M15,M16?) Serija 3XXX",,"A4N nebojeni, baliran-D, post-con","A5N nebojeni, baliran-U, post-con","A41 sekundarni ingoti-U, pre-con","A6 stranice kamiona-D, post-con",,,
EW3,10536,2,L51,3600,400 X 1350,0,0,2000,2000,2000,500,0,1000,1500,2000,1000,0,0,0,,,"M13 (M13,M14,M12,M14K,M15,M16?) Serija 3XXX","M13 (M13,M14,M12,M14K,M15,M16?) Serija 3XXX","M13 (M13,M14,M12,M14K,M15,M16?) Serija 3XXX","M13 (M13,M14,M12,M14K,M15,M16?) Serija 3XXX",,"A4N nebojeni, baliran-D, post-con","A5N nebojeni, baliran-U, post-con","A41 sekundarni ingoti-U, pre-con","A6 stranice kamiona-D, post-con",,,
EW3,10536,2,L51,3600,400 X 1350,0,0,2000,2000,2000,500,0,1000,1500,2000,1000,0,0,0,,,"M13 (M13,M14,M12,M14K,M15,M16?) Serija 3XXX","M13 (M13,M14,M12,M14K,M15,M16?) Serija 3XXX","M13 (M13,M14,M12,M14K,M15,M16?) Serija 3XXX","M13 (M13,M14,M12,M14K,M15,M16?) Serija 3XXX",,"A4N nebojeni, baliran-D, post-con","A5N nebojeni, baliran-U, post-con","A41 sekundarni ingoti-U, pre-con","A6 stranice kamiona-D, post-con",,,
EW3,13593,3,L51,3800,400 X 1100,0,0,2000,5000,2000,500,0,1000,1000,2000,1000,0,0,0,,,"M13 (M13,M14,M12,M14K,M15,M16?) Serija 3XXX","M13 (M13,M14,M12,M14K,M15,M16?) Serija 3XXX","M13 (M13,M14,M12,M14K,M15,M16?) Serija 3XXX","M13 (M13,M14,M12,M14K,M15,M16?) Serija 3XXX",,"A4N nebojeni, baliran-U, post-con","A5N nebojeni, vre?e-D, post-con","A41 sekundarni ingoti-U, pre-con","A6 stranice kamiona-U, post-con",,,
EW3,13593,3,L51,3800,400 X 1100,0,0,2000,5000,2000,500,0,1000,1000,2000,1000,0,0,0,,,"M13 (M13,M14,M12,M14K,M15,M16?) Serija 3XXX","M13 (M13,M14,M12,M14K,M15,M16?) Serija 3XXX","M13 (M13,M14,M12,M14K,M15,M16?) Serija 3XXX","M13 (M13,M14,M12,M14K,M15,M16?) Serija 3XXX",,"A4N nebojeni, baliran-U, post-con","A5N nebojeni, vre?e-D, post-con","A41 sekundarni ingoti-U, pre-con","A6 stranice kamiona-U, post-con",,,
Q92,38914,5,L39,6600,400 X 1100,30000,0,4000,5000,3000,0,0,0,0,0,0,0,0,0,"AL ingoti  99,7% - T",,"P32 (P32,P32S,P32R, ?)","P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX","P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX",,,,,,,,,
Q92,38914,5,L39,6600,400 X 1100,30000,0,4000,5000,3000,0,0,0,0,0,0,0,0,0,"AL ingoti  99,7% - T",,"P32 (P32,P32S,P32R, ?)","P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX","P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX",,,,,,,,,
EW3,10536,2,L51,3600,400 X 1350,0,0,2000,2000,2000,500,0,1000,1500,2000,1000,0,0,0,,,"M13 (M13,M14,M12,M14K,M15,M16?) Serija 3XXX","M13 (M13,M14,M12,M14K,M15,M16?) Serija 3XXX","M13 (M13,M14,M12,M14K,M15,M16?) Serija 3XXX","M13 (M13,M14,M12,M14K,M15,M16?) Serija 3XXX",,"A4N nebojeni, baliran-D, post-con","A5N nebojeni, baliran-U, post-con","A41 sekundarni ingoti-U, pre-con","A6 stranice kamiona-D, post-con",,,
Y80,12928,3,L42,3800,400 X 1050,9000,0,2000,500,0,0,0,2000,0,0,0,0,0,0,"AL ingoti  99,7% - T",,"A30 (A30,A31,A29,A33,A40?) Serija 1XXX","A30 (A30,A31,A29,A33,A40?) Serija 1XXX",,,,"A1 balirano-U, post-con",,,,,,
Y80,10109,2,L42,3600,400 X 1300,6500,0,2000,500,0,0,0,2000,0,0,0,0,0,0,"AL ingoti  99,7% - T",,"A30 (A30,A31,A29,A33,A40?) Serija 1XXX","A30 (A30,A31,A29,A33,A40?) Serija 1XXX",,,,"A1 balirano-U, post-con",,,,,,
Y80,10109,2,L42,3600,400 X 1300,6500,0,2000,500,0,0,0,2000,0,0,0,0,0,0,"AL ingoti  99,7% - T",,"A30 (A30,A31,A29,A33,A40?) Serija 1XXX","A30 (A30,A31,A29,A33,A40?) Serija 1XXX",,,,"A1 balirano-U, post-con",,,,,,
Y80,12442,2,L42,3600,400 X 1600,9000,0,2000,500,0,0,0,2000,0,0,0,0,0,0,"AL ingoti  99,7% - T",,"A30 (A30,A31,A29,A33,A40?) Serija 1XXX","A30 (A30,A31,A29,A33,A40?) Serija 1XXX",,,,"A1 balirano-U, post-con",,,,,,
Y80,10109,2,L42,3600,400 X 1300,7500,0,2000,500,0,0,0,1000,0,0,0,0,0,0,"AL ingoti  99,7% - T",,"A30 (A30,A31,A29,A33,A40?) Serija 1XXX","A30 (A30,A31,A29,A33,A40?) Serija 1XXX",,,,"A1 balirano-U, post-con",,,,,,
Y80,12928,3,L42,3800,400 X 1050,10000,0,2000,500,0,0,0,1000,0,0,0,0,0,0,"AL ingoti  99,7% - T",,"A30 (A30,A31,A29,A33,A40?) Serija 1XXX","A30 (A30,A31,A29,A33,A40?) Serija 1XXX",,,,"A1 balirano-U, pre-con",,,,,,
Y80,12928,3,L42,3800,400 X 1050,11000,0,2000,500,0,0,0,0,0,0,0,0,0,0,"AL ingoti  99,7% - T",,"A30 (A30,A31,A29,A33,A40?) Serija 1XXX","A30 (A30,A31,A29,A33,A40?) Serija 1XXX",,,,,,,,,,
Y80,12928,3,L42,3800,400 X 1050,11000,0,2000,500,0,0,0,0,0,0,0,0,0,0,"AL ingoti  99,7% - T",,"A30 (A30,A31,A29,A33,A40?) Serija 1XXX","A30 (A30,A31,A29,A33,A40?) Serija 1XXX",,,,,,,,,,
Y80,12928,3,L42,3800,400 X 1050,11000,0,2000,500,0,0,0,0,0,0,0,0,0,0,"AL ingoti  99,7% - T",,"A30 (A30,A31,A29,A33,A40?) Serija 1XXX","A30 (A30,A31,A29,A33,A40?) Serija 1XXX",,,,,,,,,,
Y80,12928,3,L42,3800,400 X 1050,11000,0,2000,500,0,0,0,0,0,0,0,0,0,0,"AL ingoti  99,7% - T",,"A30 (A30,A31,A29,A33,A40?) Serija 1XXX","A30 (A30,A31,A29,A33,A40?) Serija 1XXX",,,,,,,,,,
Y80,9526,2,L42,4200,400 X 1050,7500,0,2000,500,0,0,0,0,0,0,0,0,0,0,"AL ingoti  99,7% - T",,"A30 (A30,A31,A29,A33,A40?) Serija 1XXX","A30 (A30,A31,A29,A33,A40?) Serija 1XXX",,,,,,,,,,
Y80,12442,2,L42,3600,400 X 1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Y80,13133,2,L42,3800,400 X 1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
